NSC,mean_log_IC50,CELL_NAME
94600,-6.3853,PC-3
94600,-6.69543333333333,RPMI-8226
94600,-6.55748333333333,RXF 393
94600,-7.36402857142857,SF-268
94600,-7.78644285714286,SF-295
94600,-7.54895714285714,SF-539
94600,-6.07668333333333,SK-MEL-2
94600,-5.85034285714286,SK-MEL-28
94600,-7.23476666666667,SK-MEL-5
94600,-6.02772,SK-OV-3
94600,-7.52585714285714,SN12C
94600,-6.87232,SNB-19
94600,-4.9841,SNB-75
94600,-6.612,SR
94600,-6.94384285714286,SW-620
94600,-6.6181,T-47D
94600,-4.77475,TK-10
94600,-7.80132,U251
94600,-6.21837142857143,UACC-257
94600,-7.72131666666667,UACC-62
94600,-6.87345714285714,UO-31
109874,-4.6227,786-0
109874,-4,A498
109874,-4.8735,A549/ATCC
109874,-4,ACHN
109874,-4,BT-549
109874,-4,CAKI-1
109874,-4.2049,CCRF-CEM
109874,-5.15265,COLO 205
109874,-4.43605,DU-145
109874,-4,EKVX
109874,-4.9167,HCC-2998
109874,-5.2741,HCT-116
109874,-5.34455,HCT-15
109874,-5.1979,HL-60(TB)
109874,-4.3075,HOP-62
109874,-4,HOP-92
109874,-4,HS 578T
109874,-5.07215,HT29
109874,-4.5061,IGROV1
